gap_id,category,severity,subject,location,summary,recommended_action
GAP-DOC-DEVSECOPS-DIR-001,governance_document_status,medium,DEVSECOPS-DIR-001,docs/governance/devsecops-directive.md,DevSecOps Directive is still in draft status.,"Review, approve, and update the catalog status once the document is formally adopted."
GAP-DOC-DEVSECOPS-POL-001,governance_document_status,medium,DEVSECOPS-POL-001,docs/governance/devsecops-policy.md,DevSecOps Policy - Software Defined Defence (SDD) is still in draft status.,"Review, approve, and update the catalog status once the document is formally adopted."
